sample,field,tillage,irrigation,year,total.fame,actinomycete.67,actinomycete.83,actinomycete.85,actinomycete.99,actinomycete.105,actinomycete.119,g.minus.78,g.minus.100,g.minus.116,g.minus.117,g.plus.21,g.plus.22,g.plus.35,g.plus.37,g.plus.52,g.plus.53,g.plus.72,g.plus.73,g.plus.109,g.plus.111,amf.58,sap.fungi.87,sap.fungi.88,sap.fungi.89,sap.fungi.90,sap.fungi.91,sap.fungi.92,sap.fungi.93,sap.fungi.94,sap.fungi.95,euk.protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum
TG 33,TG3,no,yes,2018,198.08,8.739,1.784,1.567,1.645,2.277,0.147,2.684,0,0,5.116,0.965,0.076,8.766,5.114,4.896,0.371,2.797,3.627,0.224,0,8.006,0.757,0.753,0.268,9.353,17.294,0,13.867,3.372,0,3.163,50.795,53.67,1.057,26.836,7.8,16.159
TG 34,TG3,no,yes,2018,130.094,6.237,1.769,1.461,1.07,1.757,0,1.635,0,0,3.4,0.468,0,4.906,3.289,3.387,0.238,1.761,2.41,0.171,0,3.37,0.436,0.569,0.151,5.726,11.469,0,10.333,2.545,0,2.481,33.959,34.599,1.019,16.63,5.035,12.294
TG 35,TG3,no,yes,2018,165.49,8.686,2.226,1.412,1.328,2.145,0.14,2.313,0,0,4.457,0.813,0.063,7.462,4.565,4.388,0.341,2.5,3.261,0.199,0,5.607,0.481,0.708,0.189,7.777,14.211,0,12.708,0,3.229,2.278,46.299,44.91,0.97,23.592,6.77,15.937
TG 36,TG3,no,yes,2018,192.096,8.207,2.298,1.658,1.633,2.365,0.176,2.362,0,0,5.421,0.942,0.05,7.961,5.16,5.022,0.348,2.668,3.546,0.214,0,9.974,0.759,0.673,0.198,7.581,18.149,0,15.778,0,2.904,2.734,50.031,56.016,1.12,25.911,7.783,16.337
RN 49,RN1,no,yes,2018,312.776,9.39,2.018,2.098,3.02,3.362,0.292,3.895,0,0,5.508,1.44,0.121,10.713,11.959,8.452,0.402,3.494,6.292,0.264,0,11.643,1.883,0.997,0,23.891,32.981,0,23.532,0,4.735,3.304,72.72,99.662,1.37,43.137,9.403,20.18
RN 50,RN1,no,yes,2018,199.145,7.824,1.448,1.641,1.296,2.534,0,2.1,0,0,4.014,0.981,0.067,8.202,5.14,5.297,0.297,2.735,3.481,0.154,0,12.456,1.266,0.621,0.298,9.572,17.547,0,16.891,0,3.279,4.232,47.211,61.93,1.312,26.354,6.114,14.743
RN 51,RN1,no,yes,2018,217.051,8.786,1.624,1.943,1.528,3.118,0.231,2.496,0,0,5.113,1.111,0.062,9.306,5.988,6.102,0.363,3.084,3.888,0.231,0,10.05,0.73,0.879,0.305,8.929,19.525,0,19.441,0,3.737,2.715,54.974,63.596,1.157,30.135,7.609,17.23
RN 52,RN1,no,yes,2018,290.767,10.013,1.822,2.152,1.749,2.711,0,2.816,0.244,0,5.12,1.071,0,9.864,6.902,7.223,0.425,3.651,4.582,0.202,0,9.906,0.797,1.067,0,17.677,24.595,0,21.132,4.106,0,4.028,60.547,79.28,1.309,33.92,8.18,18.447
RN 53,RN2,minimal,yes,2018,158.543,6.62,1.747,1.954,0.714,1.74,0,1.802,0.253,0,3.51,0.717,0.155,6.037,3.549,4.179,0.257,2.039,2.514,0.137,0,4.226,0.565,0.39,0.206,9.543,13.436,0,9.029,3.562,0,0.654,37.924,40.957,1.08,19.584,5.565,12.775
RN 54,RN2,minimal,yes,2018,92.125,4.447,1.694,0.938,0.358,1.11,0,1.155,0.231,0,2.324,0.29,0,3.689,2.243,2.625,0.162,1.421,1.626,0.084,0,3.099,0.383,0.257,0.107,4.038,8.191,0,4.783,0,1.445,0,24.397,22.303,0.914,12.14,3.71,8.547
RN 55,RN2,minimal,yes,2018,111.824,4.433,1.363,1.051,0.395,1.213,0,1.327,0.242,0,1.819,0.41,0,3.86,3.252,3.163,0.171,1.384,1.873,0.087,0,3.093,0.39,0.342,0.128,7.169,10.493,0,6.905,2.944,0,1.024,26.043,31.464,1.208,14.2,3.388,8.455
RN 56,RN2,minimal,yes,2018,121.61,5.058,1.582,1.142,0.493,1.506,0,1.487,0.275,0,2.642,0.477,0,4.621,3.45,3.44,0.169,1.606,2.044,0.12,0,3.882,0.431,0.417,0.157,8.239,11.771,0,7.932,3.069,0,1.707,30.112,35.898,1.192,15.927,4.404,9.781
RN 57,RN3,no,yes,2018,386.947,17.125,3.639,3.237,3.002,4.906,0.461,4.491,0,0,9.059,1.975,0.124,17.258,10.316,10.142,0.742,5.604,7.327,0.566,0,11.583,0,2.285,0,16.975,33.772,0,28.128,0,6.553,4.023,99.974,99.296,0.993,54.054,13.55,32.37
RN 58,RN3,no,yes,2018,155.322,8.485,2.925,1.467,0.92,2.763,0,2.01,0,0,4.793,0.687,0.038,7.17,4.055,4.515,0.288,2.517,3.023,0.239,0,6.442,0.511,0.543,0,6.007,13.25,0,10.25,0,2.254,4.704,45.895,39.257,0.855,22.532,6.803,16.56
RN 59,RN3,no,yes,2018,260.729,12.014,2.941,2.145,1.654,4.177,0.345,3.047,0,0,6.493,1.314,0.155,11.525,6.635,6.325,0.44,3.849,4.685,0.402,0,9.253,0.566,0.952,0.32,9.234,20.778,0,18.007,0,4.427,2.694,68.146,63.537,0.932,35.33,9.54,23.276
RN 60,RN3,no,yes,2018,279.78,12.707,3.407,2.416,1.922,4.492,0.482,3.35,0,0,6.752,1.235,0.072,11.465,6.836,6.852,0.507,3.945,5.126,0.446,0,14.789,1.019,0.892,0,12.02,24.968,0,20.32,0,3.934,3.671,72.012,77.942,1.082,36.484,10.102,25.426
JB 1,JB1,no,yes,2018,146.4,5.382,1.028,1.275,0.871,1.691,0,1.214,0.388,0,3.087,0.799,0,5.966,4.349,4.414,0.255,2.071,2.823,0.191,0,5.039,0.534,0.472,0.21,9.208,12.718,0,9.802,3.798,0,2.203,35.804,41.781,1.167,20.868,4.689,10.247
JB 2,JB1,no,yes,2018,195.793,7.146,1.645,1.846,1.23,2.195,0.679,2.099,0,0,4.63,0.82,0.098,7.719,4.647,5.425,0.513,2.811,3.358,0.628,0,6.622,1.17,0.771,0.463,7.635,13.951,0,11.753,5.263,0,3.052,47.489,47.628,1.003,26.019,6.729,14.741
JB 3,JB1,no,yes,2018,106.727,4.795,0.984,1.082,0.614,1.289,0,1.16,0.297,0,2.278,0.432,0,4.705,2.917,3.605,0.164,1.642,1.964,0.124,0,3.476,0.307,0.475,0.121,4.589,10.028,0,9.326,2.975,0,0.86,28.052,31.297,1.116,15.553,3.735,8.764
JB 4,JB1,no,yes,2018,113.945,5.568,1.222,0.872,0.616,1.201,0,1.16,0.291,0,3.121,0.425,0,5.171,2.674,2.96,0.181,1.805,1.901,0.114,0,5.38,0.414,0.378,0.131,5.431,9.593,0,9.012,3.446,0,1.578,29.282,33.785,1.154,15.231,4.572,9.479
JB 5,JB2,no,no,2018,47.487,1.867,0.489,0.735,0.144,0.555,0,0.556,0.116,0,1.056,0.184,0,1.766,1.206,1.398,0.062,0.648,0.76,0.053,0,1.049,0.351,0.102,0,1.827,4.515,0,3.263,1.92,0,0.935,11.595,13.027,1.124,6.077,1.728,3.79
JB 6,JB2,no,no,2018,39.066,1.794,0.735,0.539,0.103,0.461,0,0.719,0.066,0,1.073,0.165,0,1.641,1.106,1.443,0.06,0.659,0.792,0.041,0,0.718,0.256,0.084,0,1.24,2.701,0,1.488,0.601,0,0.254,11.397,7.088,0.622,5.907,1.858,3.632
JB 7,JB2,no,no,2018,46.059,1.622,0.387,0.683,0.152,0.539,0,0.506,0.114,0,0.749,0.159,0,1.619,1.023,1.339,0.062,0.557,0.722,0.041,0,1.049,0.251,0.133,0,2.259,4.495,0,3.958,1.615,0,0.494,10.274,13.76,1.339,5.522,1.369,3.383
JB 8,JB2,no,no,2018,34.109,1.506,0.443,0.643,0.131,0.428,0,0.411,0.123,0,0.662,0.095,0,1.259,0.761,1.01,0.046,0.491,0.584,0.031,0,1.564,0.235,0.073,0,1.677,3.996,0,2.542,0,0,0.44,8.624,10.087,1.17,4.277,1.196,3.151
JB 9,JB3,minimal,yes,2018,121.024,5.796,1.442,1.533,0.656,1.935,0,1.478,0.149,0,3.021,0.627,0,5.777,3.983,4.406,0.214,1.963,2.494,0.107,0,3.803,0.31,0.531,0,5.128,10.683,0,8.64,3.47,0,0.776,35.581,32.565,0.915,19.571,4.648,11.362
JB 10,JB3,minimal,yes,2018,253.364,7.971,1.456,2.363,1.983,3.167,0.209,2.715,0,0,4.924,1.305,0.119,9.769,7.726,7.534,0.412,3.266,4.595,0.252,0,8.643,0.748,1.065,0,20.029,20.517,0,18.155,0,9.173,1.602,59.766,78.33,1.311,34.978,7.639,17.149
JB 11,JB3,minimal,yes,2018,129.086,5.674,1.382,1.451,0.851,1.873,0,1.458,0.468,0,3.532,0.638,0.039,5.734,3.635,4.066,0.261,2.024,2.401,0.231,0,3.951,0.501,0.504,0,5.915,10.944,0,7.776,3.309,0,2.481,35.718,32.9,0.921,19.029,5.458,11.231
JB 12,JB3,minimal,yes,2018,188.595,7.179,1.464,2.223,1.166,2.814,0,2.131,0,0,4.76,1.141,0.083,8.798,5.725,6.492,0.313,2.754,3.577,0.229,0,6.053,0.462,0.827,0,8.634,15.254,0,11.782,0,6.147,1.086,50.849,49.159,0.967,29.112,6.891,14.846
MH 61,MH1,minimal,no,2018,129.952,4.626,1.013,1.361,0.57,1.537,0,1.529,0.319,0,2.427,0.613,0,5.488,3.222,3.815,0.196,1.686,2.164,0.102,0,3.031,0.413,0.32,0.251,12.881,15.77,0,7.023,2.069,0,0.844,30.668,41.758,1.362,17.286,4.275,9.107
MH 62,MH1,minimal,no,2018,148.246,5.116,1.069,1.495,0.529,1.688,0,1.738,0.248,0,2.723,0.652,0.054,6.272,3.481,4.185,0.228,1.894,2.312,0.081,0,3.129,0.4,0.348,0,15.716,20.661,0,7.373,2.151,0,1.214,33.765,49.778,1.474,19.159,4.709,9.897
MH 63,MH1,minimal,no,2018,122.552,4.462,1.208,1.262,0.463,1.808,0,1.465,0.298,0,2.407,0.435,0,4.862,2.73,3.618,0.181,1.57,2.039,0.095,0,2.954,0.394,0.271,0,10.939,16.856,0,6.13,1.749,0,1.137,28.903,39.293,1.359,15.53,4.17,9.203
MH 64,MH1,minimal,no,2018,74.875,3.197,0.882,0.931,0.277,1.006,0,0.9,0.182,0,1.679,0.282,0,3.143,1.701,2.313,0.105,1.074,1.305,0.072,0,1.843,0.286,0.181,0,4.9,8.772,0,4.117,1.368,0,0.961,19.049,21.467,1.127,9.995,2.761,6.293
MH 65,MH2,minimal,no,2018,122.264,4.728,0.926,1.35,0.474,1.618,0,1.551,0,0,2.735,0.571,0.037,6.357,3.386,4.046,0.234,1.883,2.156,0.119,0,3.318,0.587,0.333,0.242,7.923,10.559,0,5.995,2.069,0,0.925,32.171,31.026,0.964,18.789,4.286,9.096
MH 66,MH2,minimal,no,2018,138.794,5.508,1.326,1.7,0.915,1.869,0.272,1.633,0,0,3.057,0.635,0.043,6.719,3.404,4.316,0.287,2.153,2.445,0.257,0,3.38,0.661,0.494,0.443,10.41,11.28,0,6.435,2.891,0,1.193,36.539,35.994,0.985,20.259,4.69,11.59
MH 67,MH2,minimal,no,2018,187.895,7.354,1.23,1.702,0.881,2.055,0,2.136,0.423,0,3.887,0.952,0.049,9.688,5.086,5.866,0.319,2.78,3.11,0.218,0,6.104,0.568,0.66,0,13.602,15.044,0,11.2,3.207,0,1.134,47.736,50.385,1.055,28.068,6.446,13.222
MH 68,MH2,minimal,no,2018,125.328,4.898,1.018,1.237,0.588,1.44,0,1.35,0.363,0,2.888,0.512,0,5.917,2.981,3.629,0.192,1.809,2.017,0.176,0,3.276,0.396,0.379,0.248,11.571,10.594,0,6.692,2.455,0,2.187,31.015,35.611,1.148,17.233,4.601,9.181
MH 69,MH3,minimal,no,2018,91.132,3.926,1.945,1.068,0.336,1.231,0.214,1.215,0,0,1.543,0.409,0.027,4.395,2.142,3.251,0.181,1.624,1.728,0.12,0,3.719,0.347,0.232,0,5.72,9.053,0,3.66,1.568,0,0.824,25.355,24.299,0.958,13.877,2.758,8.72
MH 70,MH3,minimal,no,2018,101.865,4.233,2.174,1.398,0.405,1.475,0,1.418,0.302,0,1.849,0.434,0,4.808,2.396,3.581,0.196,1.835,1.907,0.144,0,3.805,0.526,0.57,0,4.918,9.862,0,4.619,2.061,0,0.99,28.555,26.361,0.923,15.301,3.569,9.685
MH 71,MH3,minimal,no,2018,77.927,3.81,1.495,1.16,0.28,1.686,0,1.08,0.164,0,2.049,0.322,0,4.175,2.139,2.879,0.109,1.523,1.627,0.125,0,2.398,0.37,0.293,0.097,3.099,8.723,0,3.845,1.868,0,0.502,24.623,20.693,0.84,12.899,3.293,8.431
MH 72,MH3,minimal,no,2018,71.827,3.018,0.738,0.878,0.262,1.126,0,0.909,0.118,0,1.359,0.301,0,3.658,1.772,2.289,0.122,1.188,1.276,0.057,0,2.996,0.327,0.218,0.072,4.517,7.358,0,3.565,1.511,0,0.573,19.071,20.564,1.078,10.663,2.386,6.022
CK 85,CK1,no,yes,2018,428.71,16.963,2.064,3.194,2.911,5.473,0,5.125,0,0,8.649,2.633,0.12,19.707,14.91,11.467,0.682,5.562,8.17,0.554,0,10.642,0,2.745,0,28.117,42.068,0,33.662,0,5.497,3.509,108.184,122.731,1.134,63.805,13.774,30.605
CK 86,CK1,no,yes,2018,255.268,11.018,1.815,1.995,1.373,3.947,0,2.81,0,0,5.808,1.351,0.052,11.472,6.995,6.092,0.393,3.345,4.455,0.421,0,7.124,0.624,1,0.319,11.741,23.945,0,20.219,0,2.866,5.221,63.342,67.838,1.071,34.576,8.618,20.148
CK 87,CK1,no,yes,2018,290.961,12.528,1.697,2.057,1.917,3.596,0.1,3.403,0,0,6.643,1.769,0.066,14.337,8.93,7.373,0.463,3.888,5.371,0.239,0,7.184,0,1.674,0.472,16.85,26.901,0,23.831,0,3.7,4.252,74.377,80.612,1.084,42.436,10.046,21.895
CK 88,CK1,no,yes,2018,347.689,15.116,2.157,3.116,1.973,4.701,0.333,4.336,0,0,7.424,2.128,0.095,16.662,12.328,10.118,0.601,4.713,6.789,0.392,0,7.534,0,2.347,0.467,16.113,30.849,0,25.857,0,4.282,4.731,92.982,87.449,0.94,53.826,11.76,27.396
CK 89,CK2,no,yes,2018,271.452,11.235,2.345,2.03,1.492,3.399,0,3.01,0,0,6.477,1.542,0.069,11.944,8.047,6.201,0.444,3.545,4.409,0.272,0,5.511,0,1.619,0.469,11.259,22.437,0,18.167,0,4.167,5.296,66.461,63.629,0.957,36.473,9.487,20.501
CK 90,CK2,no,yes,2018,412.061,16.114,3.079,2.731,3.369,7.017,0.413,5.171,0,0,8.523,2.73,0.117,17.484,14.5,9.366,0.719,5.662,7.792,1.041,0,8.452,0,2.605,0,22.67,47.689,0,39.983,0,7.527,5.797,105.828,128.926,1.218,59.411,13.694,32.723
CK 91,CK2,no,yes,2018,381.49,14.588,2.737,2.656,2.407,5.531,0.436,4.077,0,0,7.993,2.125,0.108,16.539,11.399,8.77,0.611,4.557,5.979,0.387,0,7.892,0,2.2,0.571,18.761,33.75,0,27.042,0,5.908,6.932,90.9,96.124,1.057,50.475,12.07,28.355
CK 92,CK2,no,yes,2018,278.242,11.944,2.411,2.521,1.636,4.818,0,3.517,0,0,6.333,1.803,0.082,14.094,10.213,8.111,0.495,3.908,5.247,0.204,0,5.732,0,1.782,0.442,12.514,26.495,0,19.137,4.139,0,4.073,77.337,70.241,0.908,44.157,9.85,23.33
CK 93,CK3,no,yes,2018,291.754,12.591,3.745,3.492,1.439,5.563,0.149,3.58,0,0,4.809,1.465,0.066,14.683,8.685,9.096,0.518,4.191,5.36,0.31,0,6.738,0.826,0.886,1.036,16.554,25.239,0,16.929,5.592,0,3.414,79.742,73.8,0.925,44.374,8.389,26.979
CK 94,CK3,no,yes,2018,222.609,10.549,3.392,2.855,0.906,3.696,0.091,2.616,0,0,3.778,1.052,0.056,11.269,6.35,7.187,0.43,3.348,4.15,0.225,0,5.754,0.676,0.64,0.624,12.749,21.368,0,10.813,3.922,0,2.801,61.95,56.546,0.913,34.067,6.394,21.489
CK 95,CK3,no,yes,2018,304.358,13.099,3.466,3.378,1.721,4.781,0.067,3.687,0,0,4.993,1.572,0.104,15.311,9.072,9.241,0.599,4.259,5.464,0.296,0,10.381,1.01,0.879,0.946,23.278,31.312,0,16.623,0,4.84,2.27,81.11,89.269,1.101,45.918,8.68,26.512
CK 96,CK3,no,yes,2018,251.793,11.589,3.988,2.562,1.806,3.451,0.365,3.244,0,0,4.823,1.389,0.067,12.769,7.502,7.645,0.545,3.811,4.797,0.328,0,7.358,0.846,0.825,0.774,17.924,21.844,0,13.125,4.396,0,3.195,70.681,67.092,0.949,38.853,8.067,23.761
TG 25,TG1,no,yes,2018,148.184,6.08,1.43,1.513,0.843,1.552,0,1.515,0,0,2.513,0.673,0.143,5.832,3.539,3.817,0.38,1.86,2.33,0.197,0,4.914,0.562,0.484,0.261,5.677,11.953,0,11.089,4.026,0,1.124,34.217,38.966,1.139,18.771,4.028,11.418
TG 26,TG1,no,yes,2018,131.772,6.738,1.983,1.275,0.604,1.561,0,1.342,0,0,3.254,0.675,0.064,5.699,3.116,3.434,0.257,1.952,2.167,0.097,0,6.995,0.501,0.354,0.141,4.08,9.737,0,8.622,3.263,0,1.556,34.218,33.693,0.985,17.461,4.596,12.161
TG 27,TG1,no,yes,2018,108.058,5.208,1.286,1.107,0.441,1.093,0,1.048,0,0,2.112,0.421,0,4.592,2.395,2.69,0.204,1.55,1.705,0.072,0,8.361,0.438,0.253,0.088,3.642,8.646,0,8.504,2.504,0,1.45,25.924,32.436,1.251,13.629,3.16,9.135
TG 28,TG1,no,yes,2018,251.609,9.504,1.675,1.845,1.668,2.105,0.091,2.216,0,0,4.001,1.217,0.145,10.956,5.436,5.92,0.468,3.142,3.595,0.176,0,11.051,0.701,0.695,0.255,15.644,24.932,0,18.725,0,7.218,2.262,54.16,79.221,1.463,31.055,6.217,16.888
TG 29,TG2,yes,yes,2018,200.323,9.32,2.183,1.726,1.023,2.284,0,2.078,0,0,4.854,0.91,0.046,9.297,4.913,5.393,0.335,2.916,3.371,0.185,0,9.26,0.491,0.562,0.232,12.363,18.04,0,13.471,2.776,0,3.146,50.834,57.195,1.125,27.366,6.932,16.536
TG 30,TG2,yes,yes,2018,175.257,8.674,1.514,1.312,0.948,1.977,0,2.059,0,0,4.443,0.903,0.039,8.467,4.629,4.618,0.319,2.81,3.187,0.214,0,4.314,0.349,0.564,0,14.217,16.987,0,11.959,2.704,0,1.679,46.113,51.094,1.108,25.186,6.502,14.425
TG 31,TG2,yes,yes,2018,160.706,7.75,1.284,1.092,0.861,1.742,0,1.879,0,0,3.684,0.807,0.036,7.581,4.342,3.881,0.258,2.484,2.839,0.179,0,5.792,0,0.815,0,10.405,14.307,0,12.566,0,2.288,1.888,40.699,46.173,1.134,22.407,5.563,12.729
TG 32,TG2,yes,yes,2018,190.794,8.83,1.494,1.962,0.983,2.147,0,2.219,0,0,4.289,0.963,0.058,9.239,5.092,5.183,0.332,2.909,3.246,0.223,0,4.858,0.335,0.652,0.205,12.017,20.074,0,14.521,2.704,0,1.877,49.169,55.366,1.126,27.245,6.508,15.416
TG 33,TG3,no,yes,2018,199.361,8.822,1.649,1.651,1.335,2.238,0,2.444,0,0,5.153,1.062,0.099,9.294,5.141,5.218,0.369,2.93,3.58,0.212,0,7.033,0.432,0.803,0.226,11.239,17.982,0,14.84,3.362,0,1.77,51.197,55.917,1.092,27.905,7.597,15.695
TG 34,TG3,no,yes,2018,161.565,8.13,2.066,1.382,0.917,2.15,0,1.863,0,0,4.915,0.735,0.039,7.131,4.304,4.522,0.333,2.514,2.998,0.19,0,6.099,0,0.861,0.173,6.518,14.064,0,12.889,0,2.398,3.265,44.189,43.002,0.973,22.766,6.778,14.645
TG 35,TG3,no,yes,2018,172.731,8.888,2.052,1.561,1.164,2.257,0,2.054,0,0,4.665,0.809,0.058,8.069,4.901,5.029,0.362,2.687,3.314,0.205,0,6.709,0.524,0.721,0.244,8.598,15.811,0,13.549,0,3.001,2.954,48.075,49.157,1.023,25.434,6.719,15.922
TG 36,TG3,no,yes,2018,253.02,11.286,2.769,2.907,2.01,3.452,0.297,3.175,0,0,6.916,1.321,0.095,11.097,7.403,7.557,0.606,3.795,4.712,0.31,0,10.567,0.739,1.05,0,11.442,22.949,0,22.225,0,3.754,3.355,69.708,72.726,1.043,36.896,10.091,22.721
RN 49,RN1,no,yes,2018,218.7,8.318,1.568,1.812,1.173,2.297,0,2.083,0,0,4.313,0.875,0.051,8.734,5.164,5.855,0.329,2.982,3.658,0.199,0,18.11,0.814,0.668,0,12.701,18.874,0,17.786,0,3.818,3.19,49.411,72.771,1.473,27.847,6.396,15.168
RN 51,RN1,no,yes,2018,212.393,9.123,1.765,1.873,1.398,2.385,0.117,2.16,0,0,4.621,1.098,0.058,9.743,5.687,5.963,0.385,3.087,3.705,0.165,0,13.541,0.689,0.703,0.293,11.864,18.8,0,16.12,3.746,0,2.548,53.333,65.756,1.233,29.891,6.781,16.661
RN 52,RN1,no,yes,2018,303.934,11.645,1.799,2.708,2.115,3.341,0.26,3.149,0,0,6.109,1.514,0.089,13.536,7.874,8.951,0.55,4.399,5.273,0.233,0,15.458,0.95,0.992,0,17.644,29.572,0,25.237,0,4.684,3.282,73.545,94.537,1.285,42.419,9.258,21.868
RN 53,RN2,minimal,yes,2018,127.171,6.402,1.882,1.443,0.451,1.575,0,1.711,0.265,0,3.076,0.534,0,5.684,3.193,3.996,0.212,1.985,2.218,0.093,0,3.126,0.322,0.397,0.116,5.304,11.66,0,7.316,2.445,0,2.003,34.72,30.686,0.884,17.915,5.052,11.753
RN 54,RN2,minimal,yes,2018,97.417,4.989,1.654,1.212,0.347,1.185,0,1.341,0.225,0,2.136,0.424,0,4.458,2.571,3.081,0.154,1.605,1.784,0.093,0,2.944,0.398,0.291,0.126,3.849,9.191,0,5.681,1.515,0,1.188,27.259,23.995,0.88,14.17,3.702,9.387
RN 55,RN2,minimal,yes,2018,103.649,5.585,1.41,1.257,0.439,1.538,0,1.626,0.23,0,2.613,0.482,0,5.052,3.133,3.566,0.183,1.76,2.039,0.093,0,2.614,0.288,0.423,0.151,3.647,9.121,0,6.554,2.204,0,0.898,31.006,25.002,0.806,16.308,4.469,10.229
RN 56,RN2,minimal,yes,2018,121.939,5.42,1.399,1.808,0.47,1.714,0,1.639,0.235,0,2.768,0.55,0,5.132,3.348,4.202,0.215,1.824,2.236,0.099,0,3.379,0.352,0.427,0.154,6.414,11.845,0,7.555,2.844,0,0.577,33.059,32.97,0.997,17.606,4.642,10.811
RN 57,RN3,no,yes,2018,540.633,21.66,3.4,5.058,4.273,7.249,0.415,6.147,0,0,11.677,3.327,0.165,28.422,16.843,17.74,1.061,8.492,10.766,0.684,0,24.701,0,3.385,0,31.133,52.155,0,47.555,0,7.347,5.158,147.379,166.276,1.128,87.5,17.824,42.055
RN 58,RN3,no,yes,2018,328.301,13.028,2.864,2.514,1.642,3.63,0.098,3.521,0,0,6.534,1.669,0.094,15.053,8.174,8.314,0.501,4.709,5.369,0.234,0,12.619,0,1.626,0,17.88,33.699,0,22.823,0,4.841,5.771,77.948,93.488,1.199,44.117,10.055,23.776
RN 59,RN3,no,yes,2018,345.848,13.822,3.03,2.462,2.049,4.784,0.32,3.537,0,0,7.212,1.701,0.081,15.292,8.723,8.694,0.509,4.736,5.677,0.367,0,21.705,0.777,1.132,0.394,14.734,26.247,0,25.371,0,5.329,4.554,82.996,95.689,1.153,45.78,10.749,26.467
RN 60,RN3,no,yes,2018,315.847,12.215,2.512,2.279,1.841,4.171,0,3.087,0,0,6.368,1.531,0.081,13.634,7.975,8.005,0.466,4.203,5.27,0.346,0,13.591,0.571,1.122,0,18.87,27.666,0,24.39,0,4.394,4.184,73.984,90.604,1.225,41.511,9.455,23.018
MH 61,MH1,minimal,no,2018,87.382,3.831,1.134,1.211,0.524,1.213,0,1.025,0,0,2.006,0.382,0,4.011,1.995,2.923,0.153,1.443,1.616,0.087,0,1.764,0.318,0.258,0,5.34,8.25,0,4.078,1.897,0,0.568,23.554,21.905,0.93,12.61,3.031,7.913
MH 62,MH1,minimal,no,2018,121.311,4.98,1.19,1.6,0.639,2.041,0,1.583,0,0,2.798,0.483,0,6.019,3.031,4.246,0.219,2.08,2.424,0.107,0,2.563,0.438,0.37,0.173,7.823,12.497,0,6.513,2.111,0,0.785,33.44,32.488,0.972,18.609,4.381,10.45
MH 63,MH1,minimal,no,2018,101.389,4.121,1.03,1.763,0.463,1.351,0,1.157,0,0,2.141,0.449,0.066,4.656,2.188,3.301,0.187,1.65,1.829,0.082,0,2.327,0.372,0.272,0,6.843,13.626,0,5.093,0,0,0.927,26.434,28.533,1.079,14.408,3.298,8.728
MH 65,MH2,minimal,no,2018,111.996,4.827,0.992,1.855,0.564,1.527,0,1.322,0,0,2.142,0.493,0,6.153,2.873,3.998,0.225,2.063,2.19,0.107,0,2.933,0.56,0.353,0.27,4.91,11.328,0,5.713,0,0,1.259,31.331,26.067,0.832,18.102,3.464,9.765
MH 66,MH2,minimal,no,2018,113.3,5.149,1.353,1.533,0.448,2.026,0,1.318,0,0,2.898,0.512,0,6.37,3.166,4.481,0.193,2.141,2.383,0.126,0,2.26,0.385,0.408,0.265,5.51,9.569,0,5.622,2.93,0,0.699,34.097,26.949,0.79,19.372,4.216,10.509
MH 67,MH2,minimal,no,2018,127.403,5.631,1.367,1.692,0.556,1.599,0,1.317,0,0,3.108,0.535,0,7.001,3.211,4.262,0.212,2.305,2.375,0.14,0,3.991,0.461,0.439,0.188,7.413,13.514,0,6.402,0,0,1.324,35.311,32.408,0.918,20.041,4.425,10.845
MH 68,MH2,minimal,no,2018,89.938,4.38,1.156,0.955,0.453,1.32,0,1.251,0,0,2.512,0.392,0,5.209,2.538,3.331,0.14,1.871,2.071,0.095,0,2.188,0.348,0.291,0.178,2.958,6.267,0,4.23,1.877,0,0.949,27.674,18.337,0.663,15.647,3.763,8.264
MH 69,MH3,minimal,no,2018,76.248,3.757,2.215,1.085,0.284,1.272,0,1.048,0,0,1.763,0.33,0,4.342,1.897,3.326,0.136,1.82,1.739,0.086,0,2.313,0.325,0.236,0.08,3.158,6.978,0,2.723,1.736,0,0.556,25.1,17.549,0.699,13.676,2.811,8.613
MH 70,MH3,minimal,no,2018,85.701,3.801,1.827,1.379,0.327,1.478,0,1.135,0,0,1.627,0.381,0,4.558,2.198,3.704,0.181,1.843,1.866,0.09,0,1.964,0.406,0.283,0.1,3.797,8.142,0,3.905,2.079,0,0.465,26.395,20.676,0.783,14.821,2.762,8.812
MH 71,MH3,minimal,no,2018,79.819,3.627,1.48,1.157,0.337,1.389,0,1.093,0.206,0,2.371,0.331,0,4.49,1.987,3.214,0.146,1.722,1.732,0.082,0,1.913,0.397,0.231,0,2.534,5.894,0,3.08,1.626,0,0.462,25.364,15.675,0.618,13.704,3.67,7.99
MH 72,MH3,minimal,no,2018,70.159,2.97,0.632,0.813,0.317,1.287,0,0.946,0,0,1.751,0.281,0,3.864,2.014,2.626,0.108,1.431,1.57,0.073,0,2.156,0.34,0.261,0,3.409,6.122,0,3.261,1.584,0,0.523,20.683,17.133,0.828,11.967,2.697,6.019
CK 85,CK1,no,yes,2018,312.209,14.303,2.034,2.906,2.21,4.207,0.29,3.753,0,0,8.086,1.642,0.071,15.357,8.793,7.947,0.533,4.791,6.122,0.445,0,6.25,0,1.822,0,15.381,28.697,0,22.593,4.313,0,2.486,83.49,79.056,0.947,45.701,11.839,25.95
