sample,field,tillage,irrigation,year,total.fame,actinomycete.67,actinomycete.83,actinomycete.85,actinomycete.99,actinomycete.105,actinomycete.119,g.minus.78,g.minus.100,g.minus.116,g.minus.117,g.plus.21,g.plus.22,g.plus.35,g.plus.37,g.plus.52,g.plus.53,g.plus.72,g.plus.73,g.plus.109,g.plus.111,amf.58,sap.fungi.87,sap.fungi.88,sap.fungi.89,sap.fungi.90,sap.fungi.91,sap.fungi.92,sap.fungi.93,sap.fungi.94,sap.fungi.95,euk.protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum
JB 12,JB3,no,yes,2017,213.434,7.468,1.271,1.547,1.102,2.031,0,2.072,0.334,0,5.141,0.999,0.062,9.597,5.117,5.999,0.364,3.201,3.23,0.391,0,10.724,0.693,0.685,0.252,14.326,17.879,0,12.775,0,4.163,1.369,49.926,61.497,1.232,28.96,7.547,13.419
RN 1,RN1,no,yes,2017,,4.836,1.823,0.827,0.259,0.923,0,1.015,0.081,0,2.493,0.359,0,3.642,2.056,2.319,0.149,1.283,1.304,0.516103989,0.109,3.225,0.404,0.4,0.076,3.818,8.576,0,6.148,0,1.227,0.941,23.99410399,23.874,0.994994437,11.73710399,3.589,8.668
RN 2,RN1,no,yes,2017,,5.52,2.395,0.767,0.303,1.091,0,1.099,0.097,0,3.034,0.465,0,4.176,2.203,2.572,0.193,1.626,1.581,0.706756358,0.093,5.235,0.406,0.368,0.113,3.369,7.917,0,6.254,0,1.679,1.168,27.92175636,25.341,0.907571847,13.61575636,4.23,10.076
RN 3,RN1,no,yes,2017,,4.518,1.34,0.495,0.241,0.87,0,0.901,0.079,0,2.167,0.316,0,3.339,1.94,1.891,0.137,1.188,1.253,0.508514112,0.083,5.077,0.372,0.269,0.113,2.833,7.034,0,4.95,0,1.327,0.814,21.26651411,21.975,1.033314622,10.65551411,3.147,7.464
RN 4,RN1,no,yes,2017,,10.877,2.589,1.675,1.048,2.231,0,2.85,0.137,0,6.519,1.222,0.068,10.675,5.948,5.438,0.401,3.287,3.312,1.737218835,0.236,23.429,0,1.788,0,23.641,28.258,0,20.834,0,3.498,2.586,60.25021883,101.448,1.683778117,32.32421883,9.506,18.42
RN 5,RN1,no,no,2017,,8.828,1.463,1.076,0.822,1.648,0,2.075,0.141,0,4.585,0.846,0.056,8.23,4.432,3.582,0.359,2.56,2.476,0.548105608,0.141,5.742,0.425,0.709,0,10.718,20.345,0,16.695,0,2.632,1.727,43.86810561,57.266,1.305413106,23.23010561,6.801,13.837
RN 6,RN1,no,no,2017,,4.843,1.184,0.516,0.322,0.83,0,0.922,0.121,0,2.281,0.318,0,3.668,2.058,1.877,0.137,1.235,1.251,1.871226661,0.114,3.484,0.289,0.462,0.091,3.075,6.987,0,6.978,0,1.447,1.158,23.54822666,22.813,0.968777833,12.52922666,3.324,7.695
RN 1,RN1,no,yes,2017,,8.765,1.682,1.222,0.763,1.708,0,1.926,0.126,0,4.365,1.026,0.069,8.527,5.23,4.111,0.373,2.719,2.764,1.432035307,0.193,5.218,0,1.203,0.241,5.763,13.289,0,13.441,0,3.38,1.661,47.00103531,42.535,0.904980065,26.44403531,6.417,14.14
RN 2,RN1,no,yes,2017,,8.228,2.28,1.199,0.615,1.611,0,1.699,0.168,0,4.179,0.877,0.057,7.471,4.1,3.827,0.336,2.705,2.542,1.151331953,0.19,5.981,0.54,0.594,0.195,5.206,12.877,0,11.756,0,2.593,1.453,43.23533195,39.742,0.919201917,23.25633195,6.046,13.933
RN 3,RN1,no,yes,2017,,8.997,2.138,1.303,0.667,1.58,0,1.706,0.084,0,4.42,1,0.07,8.204,4.588,4.012,0.41,2.64,2.531,1.240984731,0.158,7.496,0.547,0.8,0.2,7.662,17.697,0,11.606,0,2.671,2.28,45.74898473,48.679,1.064045471,24.85398473,6.21,14.685
RN 4,RN1,no,yes,2017,,6.637,1.813,0.967,0.407,1.583,0,1.12,0.094,0,3.184,0.582,0,5.457,3.006,2.502,0.226,1.784,1.706,0.722472046,0.103,3.408,0.352,0.398,0.144,4.184,10.743,0,6.795,0,1.979,0.851,31.89347205,28.003,0.878016666,16.08847205,4.398,11.407
