sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
RN 59,clay loam,8.2,7.8,165,1515,2158,5731,34,5.82,13.33,319,76,4.71,26.86,7.23,33.47,53.33,5.95,1.81,14.91,4.39,
RN 60,clay loam,8.2,7.8,102,1504,2025,4837,36,5.71,9.87,304,89,4.38,24.05,8.01,35.07,50.26,6.65,1.56,10.64,1.41,
JB 1,loamy sand,8,7.85,162,776,1302,2101,63,3.16,5.85,111,78,1.78,12.87,7.72,42.14,40.8,9.32,0.69,0.49,1.07,
JB 2,loamy sand,8.5,7.95,94,741,1411,1990,38,3.61,5.74,101,72,1.64,12.2,7.78,48.17,40.76,3.27,0.73,1.37,1.06,
JB 3,loamy sand,8.2,7.9,109,828,1347,1902,57,3.34,3.38,124,78,2.07,12.22,8.68,45.89,38.88,6.54,0.47,1.31,0.95,
JB 4,loamy sand,8.4,7.9,114,822,1534,2070,43,4.03,6.27,122,76,1.92,13.42,7.85,47.62,38.56,5.96,0.65,1.53,0.99,
JB 5,loamy sand,7,7.8,88,500,392,2182,14,1.03,1.01,114,89,1.78,9.32,6.87,17.5,58.47,17.15,0.4,1.33,0.95,
JB 6,loamy sand,6.3,7.8,25,430,385,1974,18,0.77,0.73,108,87,1.8,8.69,6.34,18.45,56.78,18.41,0.38,1.05,1.14,
JB 7,loamy sand,7.1,7.85,51,520,389,2167,19,1,0.94,112,91,1.73,8.9,7.48,18.2,60.83,13.47,0.29,1.55,1.17,
JB 8,loamy sand,7.4,7.85,30,526,429,2329,16,0.97,0.75,118,77,1.92,9.48,7.11,18.84,61.39,12.65,0.2,1.09,0.8,
JB 9,loamy sand,8,7.85,89,802,1676,2021,94,4.27,2.67,122,70,2.25,14.26,7.2,48.95,35.42,8.41,0.58,14.02,0.93,
JB 10,loamy sand,8.1,7.9,111,921,1603,2192,43,4.38,2.62,119,66,2.17,14.13,8.35,47.23,38.75,5.65,0.65,16.36,1.19,
JB 11,loamy sand,8,7.85,102,739,1516,1825,74,3.43,2.83,121,69,2.12,13.02,7.27,48.49,35.02,9.21,0.5,12.72,0.86,
JB 12,loamy sand,7.9,7.85,109,819,1375,1850,72,3.37,2.72,127,70,2.01,12.6,8.33,45.45,36.69,9.52,0.61,8.29,1,
MH 61,sandy loam,7.5,7.8,156,1084,693,3232,13,1.31,2.14,211,96,2.95,13.95,9.95,20.68,57.89,11.46,0.57,4.5,1.07,
